diagnosis,note,ICD1,ICD2,ICD3,ICD4,ICD5
上消化道異物梗塞,7,T189,W80,X70,X91,Y20
上消化道疾病,1,K929,Q459,,,
上消化道病變,0,K929,,,,
上消化道癌,0,C269,,,,
上消化道穿孔,2,K275,S369(TR),,,
上消化道腐蝕,7,T287,X49,X69,X90,Y19
上消化道腐蝕傷出血,7,T287,X49,X69,X90,Y19
上消化道腐蝕傷穿孔,7,T287,X49,X69,X90,Y19
上消化道腐蝕出血,7,T287,X49,X69,X90,Y19
上消化道腐蝕性傷害,7,T287,X49,X69,X90,Y19
上消化道腐蝕性灼傷,7,T287,X49,X69,X90,Y19
上消化道腐蝕性灼傷後遺症,5,T958,Y86,,,
上消化道腐蝕灼傷,7,T287,X49,X69,X90,Y19
上消化道腫瘤出血,0,D379,,,,
上消化道血管異生性出血,3,K922,S369(TR),P543,,
上消化道邊緣性潰瘍,0,K279,,,,
上消化道阻塞,1,K566,P769,,,
上消化道靜脈曲張,0,I868,,,,
上消化道靜脈曲張出血,0,I868,,,,
上消化道靜脈曲張破裂出血,0,I868,,,,
上消化道靜脈瘤出血,0,I868,,,,
上消化道靜脈瘤破裂,0,I868,,,,
上消化道靜脈破裂出血,0,I868,,,,
上消化道黏膜性損傷,2,K928(nTR),S369(TR),,,
上消化道黴菌感染,0,B488,,,,
上牙齦上皮細胞癌,0,C030,,,,
上牙齦口腔癌,0,C030,,,,
上牙齦惡性腫瘤,0,C030,,,,
上牙齦惡性鱗狀細胞癌,0,C030,,,,
上皮壞死性溶解症,0,L512,,,,
上皮性血管肉瘤,0,C499,,,,
上皮惡性腫瘤,0,C449,,,,
上皮樣肉瘤,0,C499,,,,
上皮樣血管內皮肝腫瘤,0,C227,,,,
上皮樣血管肉瘤,0,C499,,,,
上皮癌,0,C809,,,,
上皮移行細胞癌,0,C809,,,,
上皮細胞惡性腫瘤,0,C809,,,,
上皮細胞癌,0,C809,,,,
上皮細胞肉瘤,0,C499,,,,
上皮細胞肺癌,0,C349,,,,
上皮膀胱癌,0,C679,,,,
上皮轉移性惡性腫瘤,0,C809,,,,
上皮鱗狀細胞癌,0,C809,,,,
上眼核麻痺症,0,G231,,,,
上硬顎惡性腫瘤,0,C050,,,,
上硬顎癌,0,C050,,,,
上硬顎腫瘤,0,D480,,,,
上神經元病變,0,G1229,,,,
上竇室癌,0,C310,,,,
上縱膈腔惡性腫瘤,0,C381,,,,
上縱膈腔症候群,0,J985,,,,
上縱膈腔腫瘤,0,D383,,,,
上聲門喉癌,0,C321,,,,
上聲門惡性腫瘤,0,C321,,,,
上聲門異物哽塞,7,T173,W80,X70,X91,Y20
上聲門癌,0,C321,,,,
上聲門肉芽腫,0,J383,,,,
上聲門腫瘤,0,D380,,,,
上聲門鱗狀上皮癌,0,C321,,,,
上聲門鱗狀細胞癌,0,C321,,,,
上肢丹毒,0,A46,,,,
上肢人工血管感染,5,T827,Y832,,,
上肢傷口,2,L984,T111,,,
上肢先天性畸型,0,Q740,,,,
上肢出血,0,T119,,,,
上肢刺傷,7,T111,W269,X78,X99,Y28
上肢動脈瘤,0,I721(nTR),,,,
上肢動脈硬化壞疽,0,I702,,,,
上肢動脈阻塞,0,I742,,,,
上肢動靜脈廔管感染,5,T827,Y832,,,
上肢化膿,0,L088,,,,
上肢化膿糜爛性組織炎,0,L088,,,,
上肢壞死,0,R02,,,,
上肢壞死性筋膜炎,0,M726,,,,
上肢壞死性肌膜炎,0,M726,,,,
上肢壞疽,0,R02,,,,
上肢壞疽感染,5,R02,L088,,,
上肢外傷,0,T119,,,,
上肢多處傷口,2,L984,T012,,,
上肢多處挫傷,0,T110,,,,
上肢多處骨折,0,T022,,,,
上肢帶狀泡疹,0,B029,,,,
上肢惡性腫瘤,0,C764,,,,
上肢惡性血管肉瘤,0,C491,,,,
上肢惡性黑色素瘤,0,C436,,,,
上肢感染,0,L088,,,,
上肢挫傷,0,T110,,,,
上肢撕裂傷,0,T111,,,,
上肢撞挫傷,0,T110,,,,
上肢擦傷,0,T110,,,,
上肢斷裂,0,T116,,,,
上肢末稍壞疽,0,R02,,,,
上肢水腫,1,R600,P833,,,
上肢淋巴癌,0,C859,,,,
上肢淋巴結續發性未明性惡性腫瘤,0,C773,,,,
上肢淋巴腺惡性瘤,0,C491,,,,
上肢潰瀾,0,L984,,,,
上肢灼傷,7,T220,X09,X76,X97,Y26
上肢燒灼傷,7,T220,X09,X76,X97,Y26
上肢燙傷,7,T220,X09,X76,X97,Y26
上肢病理性骨折,0,M844,,,,
上肢癱瘓,0,G830(nTR),,,,
上肢皮下出血,3,R5800,T119,P548,,
上肢皮下膿瘍,0,L024,,,,
上肢皮膚原位癌,0,D046,,,,
上肢粉碎性骨折,0,T10,,,,
上肢粘液樣纖維組織細胞肉瘤,0,C491,,,,
上肢糜爛性筋膜炎,0,M726,,,,
上肢細菌感染,0,A499,,,,
上肢組織壞死,0,R02,,,,
上肢結節性淋巴瘤,0,C859,,,,
上肢結締及軟組織惡性腫瘤,0,C491,,,,
上肢纏繞電線通電,7,T71,W76,X70,X91,Y20
上肢肌腱斷裂,0,T115,,,,
上肢肱骨近端粉碎性骨折,0,S422,,,,
上肢脫臼,0,T112,,,,
上肢腔室症候群,0,I871(nTR),,,,
上肢腫瘤,0,D487,,,,
上肢萎縮,0,M625,,,,
上肢蜂窩性組織炎,0,L031,,,,
上肢血管壞死糜爛,0,R02,,,,
上肢血管瘤破裂,0,D180,,,,
上肢血管阻塞,0,I742,,,,
上肢裂傷,0,T111,,,,
上肢裂創傷,0,T111,,,,
上肢軟組織之惡性腫瘤,0,C491,,,,
上肢軟組織惡性腫瘤,0,C491,,,,
上肢軟組織感染,0,L088,,,,
上肢輾壓傷,0,T042,,,,
上肢轉移,0,C798,,,,
上肢鈍性傷,0,T119,,,,
上肢鈍挫傷,0,T110,,,,
上肢銳器創傷,7,T111,W269,X78,X99,Y28
上肢長骨惡性腫瘤,0,C400,,,,
上肢開放性撕裂傷,0,T111,,,,
上肢開放性骨折,0,T10,,,,
上肢靜脈栓塞,0,I808,,,,
上肢骨折,0,T10,,,,
上肢麻木,0,R208,,,,
上肢麻痺,0,G830(nTR),,,,
上肺塌陷,1,J981,P281,,,
上肺大細胞惡性腫瘤,0,C341,,,,
上肺小細胞肺癌,0,C341,,,,
上肺肺癌,0,C341,,,,
上肺肺腺癌,0,C341,,,,
上肺腫瘤,0,D381,,,,
上肺膿瘍,0,J852,,,,
上肺葉上皮癌,0,C341,,,,
上肺葉上皮細胞癌,0,C341,,,,
上肺葉出血,3,R048(nTR),S273,P269,,
上肺葉原發性癌,0,C341,,,,
上肺葉小細胞性肺癌,0,C341,,,,
上肺葉小細胞癌,0,C341,,,,
上肺葉巨大氣泡,0,J840,,,,
上肺葉惡性腫瘤,0,C341,,,,
上肺葉扁平細胞癌,0,C341,,,,
上肺葉病變,1,J9840,P289,,,
上肺葉結合病灶,1,A162,P370,,,
上肺葉肉瘤性癌,0,C341,,,,
上肺葉肝腺癌,0,C341,,,,
上肺葉肺炎,1,J189,P239,,,
上肺葉肺癌,0,C341,,,,
上肺葉肺腺癌,0,C341,,,,
上肺葉腫瘤,0,D381,,,,
上肺葉腫瘤術後,0,C341,,,,
上肺葉腺癌,0,C341,,,,
上肺葉腺細胞癌,0,C341,,,,
上肺葉膿瘍,0,J852,,,,
上肺葉阻塞性肺炎,1,J189,P239,,,
上肺葉非小細胞癌,0,C341,,,,
上肺葉鱗狀上皮細胞癌,0,C341,,,,
上肺葉鱗狀細胞癌,0,C341,,,,
上肺葉麴菌瘤,0,B441,,,,
上肺部中度肺結核,1,A162,P370,,,
上肺部病灶,0,J9840,,,,
上肺非小細胞肺癌,0,C341,,,,
上肺鱗狀細胞肺癌,0,C341,,,,
上胃腸出血,3,K922,S369(TR),P543,,
上胃腸吐血,1,K920,P540,,,
上胃腸道出血,3,K922,S369(TR),P543,,
上胃腸道大量出血,3,K922,S369(TR),P543,,
上胃腸道穿孔出血,3,K6310,S369(TR),P780,,
上胃腸道腐蝕性傷害,7,T287,X49,X69,X90,Y19
上胸部刺傷,7,S219,W269,X78,X99,Y28
上胸部呼吸道壓砸阻膈缺氧,7,T71,W84,X70,X91,Y20
上腔大靜脈刺創破裂出血,7,S252,W269,X78,X99,Y28
上腔症候群,0,I871(nTR),,,,
上腔繫膜動脈阻塞,0,K5500,,,,
上腔靜脈侵犯,0,C798,,,,
上腔靜脈出血,3,R5800,S252,P548,,
上腔靜脈壓迫氣管,0,I871(nTR),,,,
上腔靜脈壓迫症候群,0,I871(nTR),,,,
上腔靜脈曲張,0,I859,,,,
上腔靜脈曲張破裂出血,0,I868,,,,
上腔靜脈栓塞,0,I822,,,,
上腔靜脈狹窄,0,I871(nTR),,,,
上腔靜脈症候群,0,I871(nTR),,,,
上腔靜脈瘤破裂,0,I868,,,,
上腔靜脈破裂,3,R5800,S252,P548,,
上腔靜脈血栓,0,I822,,,,
上腔靜脈轉移,0,C798,,,,
上腔靜脈阻塞,0,I871(nTR),,,,
上腔靜脈阻塞症候群,0,I871(nTR),,,,
上腔靜脈鬱積,0,I871(nTR),,,,
上腔頰膜癌,0,C060,,,,
上腕骨折,0,S621,,,,
上腭扁平細胞癌,0,C059,,,,
上腭瘤,0,D370,,,,
上腭癌,0,C059,,,,
上腭鱗狀上皮細胞癌,0,C059,,,,
上腸動脈栓塞,0,K5500,,,,
上腸動脈阻塞,0,K5500,,,,
上腸系動脈循環不全,0,K551,,,,
上腸系動脈症候群,0,K551,,,,
上腸系動脈硬化,0,K551,,,,
上腸系動脈阻塞,0,K5500,,,,
上腸系膜動脈侵犯,0,C798,,,,
上腸系膜動脈剝離,0,K5500,,,,
上腸系膜動脈徵候群,0,K551,,,,
上腸系膜動脈栓塞,0,K5500,,,,
上腸系膜動脈狹窄,0,K5500,,,,
上腸系膜動脈瘤破裂,0,I728(nTR),,,,
上腸系膜動脈瘤破裂出血,0,I728(nTR),,,,
上腸系膜動脈硬化,0,K551,,,,
上腸系膜動脈缺血,0,K559,,,,
上腸系膜動脈血栓阻塞,0,K5500,,,,
上腸系膜動脈阻塞,0,K5500,,,,
上腸系膜動靜脈破裂,2,K668,S352,,,
上腸系膜栓塞,0,K5500,,,,
上腸系膜血管撕裂傷,0,S368(TR),,,,
上腸系膜血管阻塞,0,K5500,,,,
上腸系膜靜脈侵犯,0,C798,,,,
上腸系膜靜脈栓塞,0,K5500,,,,
上腸系膜靜脈血栓,0,K5500,,,,
上腸繫膜假性動脈瘤出血,0,I728(nTR),,,,
上腸繫膜動脈出血,2,K559,S352,,,
上腸繫膜動脈剝離,0,K5500,,,,
上腸繫膜動脈感染性動脈瘤破裂,0,I728(nTR),,,,
上腸繫膜動脈損傷,2,K559,S352,,,
上腸繫膜動脈末端血管瘤,0,D180,,,,
上腸繫膜動脈栓塞,0,K5500,,,,
上腸繫膜動脈狹窄,0,K5500,,,,
上腸繫膜動脈症候群,0,K551,,,,
上腸繫膜動脈破裂,2,K559,S352,,,
上腸繫膜動脈缺血,0,K559,,,,
上腸繫膜動脈血栓,0,K5500,,,,
上腸繫膜動脈鈣化,0,K551,,,,
上腸繫膜動脈阻塞,0,K5500,,,,
上腸繫膜破裂,2,K668,S352,,,
上腸繫膜血管瘤,0,D180,,,,
上腸繫膜血管阻塞,0,K5500,,,,
上腸繫膜靜脈侵犯,0,C798,,,,
上腸繫膜靜脈栓塞,0,K5500,,,,
上腸繫膜靜脈血栓,0,K5500,,,,
上腸胃道2~3度燒灼傷,7,T282,X09,X76,X97,Y26
上腸胃道低血容休克,5,K922,R571,,,
上腸胃道侵犯,0,C788,,,,
上腸胃道出血,3,K922,S369(TR),P543,,
上腸胃道出血休克,5,K922,R571,,,
上腸胃道出血性休克,3,R571,T794,P968,,
上腸胃道化學性灼傷,7,T282,X49,X69,X90,Y19
上腸胃道吐血,1,K920,P540,,,
上腸胃道壞死,1,K5500,P77,,,
上腸胃道大出血,3,K922,S369(TR),P543,,
上腸胃道損傷,0,K929,,,,
上腸胃道潰瘍,0,K289,,,,
上腸胃道潰瘍出血,0,K284,,,,
上腸胃道炎,1,K529,P783,,,
上腸胃道燒灼傷,7,T282,X09,X76,X97,Y26
上腸胃道穿孔,3,K6310,S369(TR),P780,,
上腸胃道腐蝕傷,7,T287,X49,X69,X90,Y19
上腸胃道血管瘤,0,D180,,,,
上腸胃道阻塞,1,K566,P769,,,
上腸胃道靜脈瘤破裂,0,I868,,,,
上腸道出血,3,K922,S369(TR),P543,,
上腸靜脈血栓,0,K5500,,,,
上腹壁膿瘍,0,L022,,,,
上腹痛,0,R101,,,,
上腹部切割,7,S318,W269,X78,X99,Y28
上腹部惡性腫瘤,0,C762,,,,
上腹部挫傷,0,S301,,,,
上腹部腫瘤,0,D487,,,,
上腿惡性軟組織癌,0,C492,,,,
上膈膜呼吸作用阻塞缺氧,3,R090,T71,P219,,
上臂人工血管感染,5,T827,Y832,,,
上臂傷口,2,L984,S411,,,
上臂傷口壞死感染,2,L088,T793,,,
上臂前臂皮膚下膿瘍,0,L024,,,,
上臂前臂膿瘍,0,L024,,,,
上臂動脈切斷,0,S451,,,,
上臂動靜脈瘻管感染,5,T827,Y832,,,
上臂反覆骨折,0,S423,,,,
上臂壓砸傷,0,S47,,,,
上臂壞死,0,R02,,,,
上臂壞死性筋膜炎,0,M726,,,,
上臂外傷,0,S499,,,,
上臂導輪夾住,6,W23,X83,Y08,Y33,
上臂惡性淋巴癌,0,C859,,,,
上臂惡性肉瘤,0,C491,,,,
上臂惡性蠑螈瘤,0,C471,,,,
上臂挫傷,0,S400,,,,
上臂撕裂傷,0,S411,,,,
上臂淋巴水腫,1,I890,Q820,,,
上臂產氣性壞疽,0,A480,,,,
上臂病理性骨折,0,M844,,,,
上臂細菌性骨髓炎,0,M869,,,,
上臂肌肉內膿瘍,0,L024,,,,
上臂肱動脈狹窄,0,I771(nTR),,,,
上臂腋窩軟組織撕裂傷,0,S411,,,,
上臂膿瘍,0,L024,,,,
上臂蜂窩組織炎,0,L031,,,,
上臂血管斷裂,3,R5800,S451,P548,,
上臂血管膿瘍,0,L024,,,,
上臂軟組織惡性腫瘤,0,C491,,,,
上臂軟組織感染,0,L088,,,,
上臂輾壓撕裂傷,0,S411,,,,
上臂轉移,0,C798,,,,
上臂開放性骨折,0,S423,,,,
上臂骨折,0,S423,,,,
上臂骨炎,0,M869,,,,
上葉之支氣管肺葉惡性腫瘤,0,C341,,,,
上葉呈開洞出血,3,R5800,T149,P549,,
上葉小細胞肺癌,0,C341,,,,
上葉支氣管或肺惡性腫瘤,0,C341,,,,
上葉支氣管肺惡性腫瘤,0,C341,,,,
上葉肺炎,1,J189,P239,,,
上葉肺癌,0,C341,,,,
上葉肺結核,1,A162,P370,,,
上葉肺腫瘤,0,D381,,,,
上葉肺腺癌,0,C341,,,,
上葉肺葉萎縮,1,J981,P281,,,
上葉腹瘤,0,D487,,,,
上蝶鞍腦瘤,0,D432,,,,
上蝶鞍膿瘍,0,G060,,,,
上行主動脈剝離,0,I710(nTR),,,,
上行主動脈瘤破裂,0,I711(nTR),,,,
上行主動脈血管瘤,0,I719,,,,
上行性感染,0,B99,,,,
上行性泌尿道感染,1,N390,P393,,,
上行性胸腔主動脈破裂,2,I718(nTR),S250,,,
上行性膽管發炎,0,K830,,,,
上行結腸癌,0,C182,,,,
上行結腸腺瘤性息肉,0,D126,,,,
上鞍部頭咽顱內瘤,0,D444,,,,
上頜寄生胎畸胎,0,Q674,,,,
上頜惡性淋巴癌,0,C859,,,,
上頜癌,0,C410,,,,
上頜竇上皮癌,0,C310,,,,
上頜竇唾液腺癌,0,C080,,,,
上頜竇惡性腫瘤,0,C310,,,,
上頜竇淋巴上皮癌,0,C310,,,,
上頜竇癌,0,C310,,,,
上頜竇肉瘤,0,C310,,,,
上頜竇骨肉瘤,0,C310,,,,
上頜竇鱗狀細胞癌,0,C310,,,,
上頜部癌,0,C410,,,,
上頜頰膜癌,0,C060,,,,
上頜骨惡性腫瘤,0,C410,,,,
上頜骨惡性骨肉瘤,0,C410,,,,
上頜骨折,0,S024,,,,
上頷惡性腫瘤,0,C410,,,,
上頷扁平細胞癌,0,C410,,,,
上頷牙肉惡性腫瘤,0,C030,,,,
上頷牙齦上皮細胞癌,0,C030,,,,
上頷癌,0,C410,,,,
上頷竇上皮癌,0,C310,,,,
上頷竇上皮細胞癌,0,C310,,,,
上頷竇惡性淋巴癌,0,C859,,,,
上頷竇惡性腫瘤,0,C310,,,,
上頷竇惡性血管腫瘤,0,C310,,,,
上頷竇惡性骨肉瘤,0,C310,,,,
上頷竇感染,0,J320,,,,
上頷竇梭形細胞肉瘤,0,C310,,,,
上頷竇癌,0,C310,,,,
上頷竇腫瘤,0,D385,,,,
上頷竇腺癌,0,C310,,,,
上頷竇骨髓炎,0,K102,,,,
上頷腺腫瘤,0,D370,,,,
上頷骨惡性肉瘤,0,C410,,,,
上頷骨腫瘤,0,D480,,,,
上頷骨骨髓炎,0,K102,,,,
上頷鱗狀上皮癌,0,C410,,,,
上頷黑色素瘤,0,C433,,,,
上頸腫瘤,0,D487,,,,
上額癌,0,C410,,,,
上額竇惡性腫瘤,0,C312,,,,
上額竇癌,0,C312,,,,
上額竇轉移,0,C783,,,,
上額血腫,0,S008,,,,
上顎上皮癌,0,C059,,,,
上顎上皮細胞癌,0,C059,,,,
上顎副鼻竇癌,0,C319,,,,
上顎壞死,0,M879,,,,
上顎惡性腫瘤,0,C059,,,,
上顎惡性骨質肉瘤,0,C059,,,,
上顎扁平細胞癌,0,C059,,,,
上顎撞擊,0,S099,,,,
上顎漿細胞癌,0,C059,,,,
上顎牙齦癌,0,C030,,,,
上顎癌,0,C059,,,,
上顎癌出血,0,C059,,,,
上顎癌術後,0,C059,,,,
上顎竇惡性腫瘤,0,C310,,,,
上顎竇癌,0,C310,,,,
上顎竇癌性肌纖維母細胞瘤,0,C310,,,,
上顎竇鱗狀細胞癌,0,C310,,,,
上顎腫瘤,0,D370,,,,
上顎腫瘤末期,0,C059,,,,
上顎腭骨癌,0,C059,,,,
上顎腺樣囊癌,0,C059,,,,
上顎軟骨細胞骨肉瘤,0,C059,,,,
上顎轉移,0,C798,,,,
上顎釉質母細胞癌,0,C059,,,,
上顎骨壞死,0,M879,,,,
上顎骨惡性腫瘤,0,C410,,,,
上顎骨折,0,S024,,,,
上顎骨開放性骨折,0,S024,,,,
上顎骨髓炎,0,K102,,,,
上顎鱗狀上皮癌,0,C059,,,,
上顎鱗狀上皮細胞癌,0,C059,,,,
上顎鱗狀細胞癌,0,C059,,,,
上顎鼻竇癌,0,C310,,,,
上顎齒齦惡性腫瘤,0,C030,,,,
上顎齒齦癌,0,C030,,,,
上食道腫瘤,0,D377,,,,
上鼻竇癌,0,C319,,,,
上齒顎惡性腫瘤,0,C030,,,,
上齒齦惡性腫瘤,0,C030,,,,
上齒齦炎,0,K051,,,,
上齒齦癌,0,C030,,,,
上齒齦鱗狀細胞癌,0,C030,,,,
上齦癌,0,C030,,,,
下三分之一食道惡性腫瘤,0,C155,,,,
下主動脈栓塞,0,I741,,,,
下主動脈瘤,0,I719,,,,
下動靜脈腔癌,0,C499,,,,
下半身多處褥瘡,0,L899,,,,
下半身截癱,0,G822(nTR),,,,
下半身癱,0,G822(nTR),,,,
下半身癱瘓,0,G822(nTR),,,,
下半身麻痺,0,G822(nTR),,,,
下呼吸道出血,0,R049(nTR),,,,
下呼吸道惡性腫瘤,0,C399,,,,
下呼吸道感染,0,J22,,,,
下呼吸道阻塞,3,J988,T71,P219,,
下咽上皮癌,0,C139,,,,
下咽上皮細胞癌,0,C139,,,,
下咽喉惡性腫瘤,0,C139,,,,
下咽喉癌,0,C139,,,,
下咽喉腫瘤,0,D370,,,,
下咽惡性平滑肌肉瘤,0,C139,,,,
下咽惡性腫瘤,0,C139,,,,
下咽惡性腫瘤出血,0,C139,,,,
下咽惡性鱗狀細胞瘤,0,C139,,,,
下咽梨狀竇惡性腫瘤,0,C12,,,,
下咽梨狀竇癌,0,C12,,,,
下咽橫紋肌肉瘤,0,C139,,,,
下咽水腫,0,J392,,,,
下咽淋巴癌,0,C859,,,,
下咽潰瘍出血,0,J392,,,,
下咽環狀軟骨後惡性腫瘤,0,C130,,,,
下咽環狀軟骨後部惡性腫瘤,0,C130,,,,
下咽癌,0,C139,,,,
下咽癌侵犯至脊椎骨,0,C139,,,,
下咽癌出血,0,C139,,,,
下咽癌局部壓迫,0,C139,,,,
下咽腔癌,0,C139,,,,
下咽腫瘤,0,D370,,,,
下咽腫瘤出血,0,D370,,,,
下咽腺癌,0,C139,,,,
下咽轉移,0,C798,,,,
下咽部出血,3,R5800,S099,P548,,
下咽部惡性癌,0,C139,,,,
下咽部惡性腫瘤,0,C139,,,,
下咽部惡性腫瘤轉移,0,C139,,,,
下咽部扁平上皮癌,0,C139,,,,
下咽部梨狀竇惡性腫瘤,0,C12,,,,
下咽部腫瘤,0,D370,,,,
下咽部轉移,0,C798,,,,
下咽部鱗狀上皮癌,0,C139,,,,
下咽部鱗狀上皮細胞癌,0,C139,,,,
下咽部鱗狀細胞癌,0,C139,,,,
下咽食道癌,5,C139,C159,,,
下咽鱗狀上皮細胞癌,0,C139,,,,
下咽鱗狀細胞癌,0,C139,,,,
下唇內側惡性腫瘤,0,C004,,,,
下唇出血,2,K130,S015,,,
下唇外側惡性腫瘤,0,C001,,,,
下唇惡性腫瘤,0,C001,,,,
下唇癌,0,C001,,,,
下唇癌末期,0,C001,,,,
下唇紅緣惡性腫瘤,0,C001,,,,
下唇細胞癌,0,C001,,,,
下唇良性腫瘤,0,D100,,,,
下唇鱗狀上皮癌,0,C001,,,,
下唇鱗狀上皮細胞癌,0,C001,,,,
下唇鱗狀細胞癌,0,C001,,,,
下唇黏膜鱗狀上皮細胞癌,0,C001,,,,
下唇黏膜鱗狀細胞癌,0,C004,,,,
下喉癌,0,C139,,,,
下喉部擴散,0,C783,,,,
下壁心肌梗塞,0,I211,,,,
下壁腸胃道出血,3,K922,S369(TR),P543,,
下外側壁急性心肌梗塞,0,I211,,,,
下大靜脈阻塞,0,I822,,,,
下尿道阻塞症候群,1,N139,Q643,,,
下巴不明腫瘤,0,D370,,,,
下巴侵犯,0,C798,,,,
下巴惡性梭狀細胞瘤,0,C411,,,,
下巴撕裂傷,0,S014,,,,
下巴膿瘍,0,K122,,,,
下巴蜂窩性組織炎,0,K122,,,,
下巴蜂窩組織炎,0,L032,,,,
下巴裂傷出血,0,S014,,,,
下巴轉移,0,C798,,,,
下巴骨折,0,S026,,,,
下床時跌倒,6,W06,X80,Y01,Y30,
下後壁急性心肌梗塞,0,I211,,,,
下心室壁心肌梗塞,0,I211,,,,
下支僵硬,0,M256,,,,
下水道工作時缺氧窒息,7,T71,W81,X70,X91,Y20
下泌尿生殖道膿瘍壞死,0,N340,,,,
下泌尿道感染,1,N390,P393,,,
下海寒冷,5,T68,X31,,,
下海游泳溺水,7,T751,W69,X71,X92,Y21
下消化道出血,3,K922,S369(TR),P543,,
下消化道出血休克,5,K922,R571,,,
下消化道急性出血,3,K922,S369(TR),P543,,
下消化道感染,0,A099,,,,
下消化道潰瘍出血,0,K274,,,,
下牙齦惡性腫瘤,0,C031,,,,
下牙齦惡性鱗狀上皮細胞癌,0,C031,,,,
下牙齦癌,0,C031,,,,
下牙齦鱗狀細胞癌,0,C031,,,,
下田工作遭拼裝車壓傷,6,V849,X82,Y03,Y32,
下痢,1,K529,P783,,,
下痢性腹瀉,1,K529,P783,,,
下眼瞼惡性腫瘤,0,C441,,,,
下矢狀竇血栓塞,0,I676,,,,
下結腸癌,0,C186,,,,
下耳齦癌,0,C062,,,,
下聲門惡性腫瘤,0,C322,,,,
下肢三度燒傷,7,T243,X09,X76,X97,Y26
下肢上皮細胞癌,0,C447,,,,
下肢丹毒,0,A46,,,,
下肢主動脈栓塞,0,I743,,,,
下肢主動脈瘤,0,I724(nTR),,,,
下肢主動脈阻塞壞死,0,I743,,,,
下肢乾性壞疽,0,R02,,,,
下肢二度灼傷,7,T242,X09,X76,X97,Y26
下肢假性動脈瘤,0,I724(nTR),,,,
下肢傷口,2,L984,T131,,,
下肢傷口出血,3,R5800,T139,P548,,
下肢傷口壞死,0,R02,,,,
下肢傷口感染,2,L088,T793,,,
下肢傷口深部感染,2,L088,T793,,,
下肢傷口發炎,2,L088,T793,,,
下肢僵直性關節,0,M256,,,,
下肢僵硬,0,M256,,,,
下肢全癱,0,G822(nTR),,,,
下肢出血,3,R5800,T139,P548,,
下肢創傷,0,T139,,,,
下肢創傷性壞疽,0,R02,,,,
下肢動脈出血,3,R5800,T139,P548,,
下肢動脈切割傷,7,T134,W269,X78,X99,Y28
下肢動脈壞死,0,I775,,,,
下肢動脈多處阻塞,0,I743,,,,
下肢動脈急性阻塞,0,I743,,,,
下肢動脈栓塞,0,I743,,,,
下肢動脈梗塞,0,I743,,,,
下肢動脈梗塞壞死,0,I743,,,,
下肢動脈狹窄,0,I771(nTR),,,,
下肢動脈玻璃切割傷,7,T134,W25,X78,X99,Y28
下肢動脈疾病,0,I779,,,,
下肢動脈病變,0,I779,,,,
下肢動脈瘤,0,I724(nTR),,,,
下肢動脈瘤破裂,0,I724(nTR),,,,
下肢動脈瘤阻塞,0,I724(nTR),,,,
下肢動脈破裂出血,2,I772(nTR),T139,,,
下肢動脈硬化,0,I702,,,,
下肢動脈硬化栓塞,0,I702,,,,
下肢動脈硬化阻塞,0,I702,,,,
下肢動脈粥狀硬化,0,I702,,,,
下肢動脈粥狀硬化壞疽,0,I702,,,,
下肢動脈血栓症,0,I743,,,,
下肢動脈血管栓塞,0,I743,,,,
下肢動脈血管疾病,0,I739,,,,
下肢動脈血管阻塞,0,I743,,,,
下肢動脈阻塞,0,I743,,,,
下肢動脈阻塞壞死,0,I743,,,,
下肢動脈阻塞壞疽,0,I743,,,,
下肢動脈阻塞性壞疽,0,I743,,,,
下肢動脈阻塞性病變,0,I743,,,,
下肢動脈阻塞感染,0,I743,,,,
下肢動脈阻塞潰瘍,0,I743,,,,
下肢動脈阻塞疾病,0,I743,,,,
下肢動脈阻塞組織壞死,0,I743,,,,
下肢動脈阻塞經繞道術後,0,I743,,,,
下肢動脈阻塞術後,0,I743,,,,
下肢動靜脈廔管阻塞,5,T828,Y832,,,
下肢動靜脈瘤,1,I770,Q273,,,
下肢動靜脈阻塞,0,I743,,,,
下肢化膿化感染,0,L088,,,,
下肢化膿性壞死,0,R02,,,,
下肢半癱,0,G822(nTR),,,,
下肢受傷感染,5,T139,B99,,,
下肢周邊動脈疾病,0,I779,,,,
下肢周邊動脈血管疾病,0,I779,,,,
下肢周邊動脈血管阻塞,0,I743,,,,
下肢周邊動脈阻塞,0,I743,,,,
下肢周邊動脈阻塞疾病,0,I743,,,,
下肢周邊血管炎,0,I776,,,,
下肢周邊血管病變,0,I739,,,,
下肢周邊血管阻塞,0,I743,,,,
下肢周邊血管阻塞壞死,0,I743,,,,
下肢周邊血管阻塞感染,0,I743,,,,
下肢四度燒灼傷,7,T243,X09,X76,X97,Y26
下肢垂足,1,M213,Q668,,,
下肢壓瘡,0,L899,,,,
下肢壓砸傷,0,T043,,,,
下肢壓碎傷,0,T043,,,,
下肢壞死,0,R02,,,,
下肢壞死性傷口感染,5,R02,L088,,,
下肢壞死性筋膜炎,0,M726,,,,
下肢壞死性節膜炎,0,M726,,,,
下肢壞死性組織炎,0,L088,,,,
下肢壞死性肌膜炎,0,M726,,,,
下肢壞死性腱膜炎,0,M769,,,,
下肢壞死性血管炎,0,I776,,,,
下肢壞死性軟組織,0,R02,,,,
下肢壞死感染,5,R02,L088,,,
下肢壞死膿瘍,0,R02,,,,
下肢壞疽,0,R02,,,,
